iter	Passed	Remaining
182	26968	120398
183	27091	120146
184	27244	120023
185	27386	119853
186	27535	119712
187	27662	119477
188	27832	119429
189	27982	119292
190	28112	119071
191	28279	119010
192	28419	118833
193	28573	118713
194	28707	118510
195	28830	118262
196	28971	118093
197	29092	117838
198	29223	117629
199	29358	117434
200	29518	117341
201	29648	117124
202	29800	117000
203	29947	116852
204	30091	116695
205	30231	116521
206	30369	116341
207	30513	116186
208	30659	116034
209	30792	115838
210	30938	115691
211	31111	115639
212	31255	115483
213	31379	115252
214	31525	115103
215	31667	114941
216	31818	114811
217	31947	114601
218	32098	114471
219	32236	114291
220	32372	114110
221	32498	113889
222	32625	113676
223	32756	113476
224	32938	113454
225	33080	113294
226	33219	113121
227	33365	112973
228	33487	112747
229	33667	112714
230	33807	112543
231	33964	112435
232	34098	112248
233	34240	112086
234	34380	111920
235	34532	111793
236	34696	111702
237	34826	111502
238	34981	111385
239	35107	111173
240	35234	110966
241	35372	110793
242	35525	110670
243	35684	110564
244	35845	110461
245	35970	110251
246	36113	110094
247	36238	109884
248	36379	109723
249	36522	109566
250	36673	109436
251	36831	109326
252	36970	109156
253	37132	109057
254	37319	109032
255	37456	108857
256	37617	108755
257	37748	108563
258	37901	108436
259	38046	108285
260	38182	108111
261	38334	107979
262	38470	107803
263	38610	107641
264	38737	107440
265	38876	107275
266	39011	107099
267	39157	106951
268	39306	106815
269	39430	106608
270	39565	106431
271	39694	106242
272	39841	106098
273	40003	105993
274	40167	105896
275	40306	105731
276	40462	105610
277	40661	105603
278	40828	105510
279	40965	105339
280	41095	105152
281	41228	104971
282	41369	104812
283	41515	104666
284	41655	104504
285	41816	104394
286	41974	104277
287	42120	104131
288	42251	103947
289	42389	103780
290	42520	103597
291	42661	103439
292	42801	103277
293	42979	103209
294	43168	103165
295	43340	103079
296	43482	102922
297	43606	102725
298	43765	102606
299	43930	102504
300	44081	102368
301	44249	102271
302	44395	102125
303	44530	101951
304	44672	101793
305	44832	101677
306	44964	101500
307	45092	101311
308	45226	101138
309	45359	100962
310	45541	100893
311	45690	100753
312	45893	100730
313	46028	100558
314	46159	100379
315	46314	100250
316	46462	100107
317	46592	99925
318	46739	99780
319	46860	99577
320	46987	99391
321	47119	99214
322	47268	99072
323	47409	98916
324	47536	98730
325	47679	98577
326	47823	98426
327	48001	98345
328	48159	98221
329	48303	98069
330	48445	97915
331	48667	97921
332	48868	97884
333	49023	97752
334	49188	97642
335	49351	97527
336	49549	97481
337	49715	97370
338	49906	97310
339	50093	97240
340	50262	97134
341	50469	97102
342	50621	96962
343	50783	96843
344	50944	96721
345	51096	96580
346	51258	96460
347	51426	96351
348	51600	96251
349	51799	96199
350	51993	96136
351	52187	96072
352	52372	95991
353	52552	95900
354	52722	95791
355	52911	95715
356	53091	95624
357	53277	95541
358	53423	95388
359	53590	95271
360	53770	95179
361	53985	95145
362	54181	95079
363	54363	94985
364	54549	94901
365	54725	94797
366	54913	94714
367	55079	94592
368	55271	94515
369	55455	94424
370	55622	94302
371	55832	94254
372	55985	94109
373	56173	94023
374	56348	93914
375	56492	93754
376	56665	93641
377	56830	93515
378	57032	93448
379	57275	93449
380	57444	93328
381	57602	93188
382	57771	93068
383	57969	92992
384	58174	92928
385	58338	92797
386	58536	92721
387	58716	92614
388	58875	92475
389	59014	92304
390	59231	92255
391	59389	92114
392	59566	92002
393	59718	91851
394	59879	91713
395	60035	91569
396	60216	91463
397	60367	91309
398	60515	91151
399	60715	91073
400	60875	90934
401	61070	90845
402	61224	90697
403	61374	90543
404	61543	90415
405	61700	90271
406	61872	90147
407	62017	89986
408	62214	89898
409	62394	89787
410	62559	89652
411	62719	89511
412	62910	89415
413	63073	89278
414	63269	89187
415	63447	89070
416	63660	89002
417	63804	88838
418	63980	88716
419	64153	88593
420	64341	88488
421	64522	88374
422	64678	88226
423	64845	88092
424	64989	87926
425	65138	87768
426	65286	87608
427	65445	87464
428	65590	87301
429	65729	87130
430	65901	87002
431	66042	86833
432	66217	86710
433	66372	86559
434	66571	86466
435	66758	86357
436	66909	86201
437	67062	86048
438	67230	85913
439	67374	85749
440	67555	85631
441	67743	85522
442	67918	85396
443	68092	85269
444	68260	85133
445	68400	84963
446	68589	84854
447	68766	84729
448	68924	84581
449	69084	84436
450	69229	84272
451	69373	84108
452	69530	83958
453	69730	83860
454	69894	83719
455	70031	83546
456	70178	83384
457	70330	83229
458	70468	83057
459	70613	82893
460	70754	82726
461	70910	82575
462	71054	82410
463	71222	82274
464	71361	82104
465	71526	81963
466	71714	81850
467	71870	81698
468	72036	81558
469	72212	81430
470	72394	81309
471	72564	81174
472	72748	81053
473	72890	80886
474	73047	80736
475	73197	80579
476	73359	80433
477	73529	80298
478	73694	80156
479	73866	80022
480	74024	79872
481	74188	79729
482	74366	79601
483	74526	79454
484	74686	79306
485	74859	79172
486	75029	79035
487	75194	78892
488	75358	78748
489	75514	78596
490	75653	78426
491	75854	78321
492	76059	78219
493	76236	78088
494	76391	77935
495	76544	77778
496	76697	77623
497	76853	77471
498	77017	77326
499	77194	77194
500	77355	77047
501	77506	76888
502	77674	76747
503	77851	76615
504	78008	76463
505	78180	76326
506	78343	76180
507	78508	76035
508	78655	75874
509	78817	75726
510	79018	75616
511	79178	75467
512	79352	75330
513	79525	75193
514	79706	75063
515	79853	74901
516	80005	74744
517	80186	74613
518	80396	74510
519	80546	74350
520	80706	74200
521	80915	74094
522	81070	73940
523	81224	73784
524	81388	73637
525	81552	73490
526	81725	73351
527	81884	73200
528	82053	73056
529	82212	72905
530	82386	72766
531	82546	72616
532	82690	72451
533	82827	72280
534	83020	72158
535	83176	72003
536	83318	71836
537	83477	71684
538	83650	71545
539	83804	71388
540	83992	71261
541	84155	71113
542	84337	70980
543	84486	70819
544	84667	70685
545	84824	70531
546	84990	70384
547	85160	70241
548	85315	70086
549	85464	69925
550	85637	69784
551	85792	69628
552	85971	69492
553	86109	69323
554	86268	69169
555	86460	69044
556	86639	68906
557	86790	68748
558	86962	68605
559	87144	68470
560	87306	68320
561	87464	68166
562	87640	68026
563	87818	67887
564	87968	67728
565	88125	67573
566	88286	67421
567	88456	67276
568	88634	67138
569	88811	66998
570	88952	66831
571	89161	66714
572	89340	66576
573	89506	66428
574	89668	66276
575	89835	66128
576	89977	65962
577	90147	65817
578	90330	65680
579	90474	65516
580	90641	65368
581	90838	65241
582	91020	65103
583	91206	64969
584	91400	64839
585	91572	64694
586	91753	64555
587	91895	64389
588	92057	64236
589	92233	64094
590	92436	63970
591	92599	63818
592	92749	63658
593	92904	63500
594	93101	63371
595	93259	63216
596	93400	63049
597	93539	62880
598	93709	62733
599	93869	62579
600	94062	62447
601	94222	62293
602	94385	62141
603	94527	61975
604	94715	61838
605	94868	61679
606	95052	61541
607	95219	61391
608	95382	61239
609	95565	61098
610	95721	60942
611	95888	60791
612	96047	60636
613	96188	60470
614	96359	60322
615	96532	60176
616	96692	60021
617	96870	59878
618	97059	59740
619	97235	59596
620	97398	59442
621	97584	59303
622	97756	59155
623	97914	58999
624	98066	58840
625	98216	58679
626	98374	58522
627	98539	58370
628	98755	58248
629	98946	58111
630	99105	57955
631	99249	57791
632	99398	57629
633	99534	57460
634	99728	57324
635	99897	57174
636	100076	57029
637	100253	56883
638	100461	56755
639	100631	56605
640	100860	56488
641	101029	56337
642	101205	56190
643	101352	56027
644	101539	55886
645	101684	55721
646	101835	55561
647	101997	55406
648	102151	55247
649	102348	55110
650	102550	54976
651	102715	54823
652	102885	54672
653	103016	54501
654	103160	54336
655	103331	54185
656	103530	54050
657	103685	53891
658	103846	53735
659	104024	53588
660	104213	53446
661	104345	53276
662	104485	53109
663	104674	52967
664	104851	52820
665	105049	52682
666	105256	52549
667	105416	52392
668	105591	52243
669	105754	52087
670	105904	51926
671	106046	51760
672	106190	51596
673	106337	51433
674	106478	51267
675	106616	51100
676	106757	50934
677	106918	50778
678	107114	50638
679	107291	50490
680	107448	50332
681	107615	50178
682	107786	50026
683	107943	49868
684	108092	49706
685	108272	49559
686	108413	49393
687	108570	49235
688	108774	49098
689	108951	48949
690	109148	48808
691	109303	48649
692	109462	48491
693	109640	48343
694	109801	48186
695	109931	48016
696	110084	47855
697	110239	47696
698	110396	47538
699	110548	47377
700	110698	47216
701	110849	47055
702	111013	46900
703	111164	46739
704	111316	46579
705	111478	46423
706	111645	46269
707	111780	46101
708	111978	45960
709	112144	45805
710	112305	45648
711	112450	45485
712	112671	45353
713	112812	45188
714	112976	45032
715	113170	44888
716	113340	44735
717	113520	44586
718	113678	44428
719	113848	44274
720	114013	44118
721	114186	43966
722	114332	43803
723	114506	43651
724	114664	43493
725	114826	43336
726	115037	43198
727	115187	43037
728	115337	42875
729	115488	42715
730	115649	42557
731	115798	42396
732	115950	42235
733	116114	42079
734	116301	41931
735	116461	41774
736	116603	41610
737	116777	41457
738	116950	41304
739	117096	41141
740	117276	40991
741	117428	40830
742	117614	40682
743	117778	40526
744	117973	40380
745	118135	40223
746	118287	40062
747	118456	39907
748	118629	39754
749	118772	39590
750	118965	39444
751	119155	39295
752	119327	39141
753	119500	38988
754	119685	38838
755	119845	38680
756	120000	38520
757	120165	38364
758	120313	38202
759	120448	38036
760	120667	37897
761	120860	37749
762	121026	37592
763	121245	37452
764	121412	37296
765	121591	37144
766	121755	36986
767	121915	36828
768	122135	36688
769	122292	36528
770	122451	36370
771	122657	36225
772	122811	36064
773	122958	35902
774	123118	35744
775	123258	35579
776	123441	35427
777	123583	35264
778	123784	35117
779	123922	34952
780	124091	34796
781	124265	34641
782	124420	34481
783	124585	34324
784	124737	34163
785	124896	34004
786	125054	33845
787	125227	33690
788	125430	33543
789	125620	33392
790	125786	33235
791	125974	33084
792	126167	32934
793	126338	32778
794	126525	32626
795	126721	32476
796	126907	32323
797	127086	32169
798	127252	32012
799	127425	31856
800	127586	31697
801	127730	31534
802	127900	31377
803	128063	31219
804	128239	31064
805	128409	30907
806	128576	30749
807	128751	30594
808	128918	30436
809	129112	30285
810	129295	30131
811	129459	29973
812	129635	29817
813	129795	29658
814	129991	29507
815	130164	29350
816	130361	29199
817	130562	29049
818	130729	28891
819	130936	28742
820	131152	28594
821	131345	28442
822	131531	28288
823	131689	28127
824	131840	27966
825	132052	27817
826	132215	27658
827	132388	27501
828	132539	27339
829	132683	27176
830	132839	27015
831	133006	26857
832	133154	26694
833	133335	26539
834	133507	26381
835	133665	26221
836	133851	26066
837	134054	25915
838	134264	25764
839	134428	25605
840	134594	25446
841	134803	25295
842	134965	25135
843	135125	24975
844	135268	24812
845	135420	24651
846	135572	24489
847	135760	24334
848	135964	24182
849	136175	24030
850	136335	23870
851	136490	23709
852	136657	23550
853	136851	23396
854	137030	23239
855	137209	23081
856	137372	22922
857	137536	22762
858	137688	22600
859	137826	22436
860	138006	22279
861	138226	22129
862	138427	21975
863	138600	21816
864	138806	21663
865	139004	21508
866	139212	21355
867	139359	21192
868	139535	21034
869	139675	20871
870	139862	20714
871	140054	20558
872	140246	20402
873	140398	20240
874	140556	20079
875	140720	19919
876	140922	19764
877	141100	19606
878	141255	19444
879	141428	19285
880	141584	19124
881	141794	18970
882	142011	18816
883	142177	18656
884	142357	18498
885	142541	18340
886	142755	18186
887	142905	18024
888	143079	17864
889	143229	17702
890	143403	17543
891	143586	17384
892	143766	17226
893	143917	17064
894	144115	16907
895	144278	16746
896	144472	16589
897	144619	16426
898	144769	16264
899	144969	16107
900	145147	15948
901	145299	15786
902	145452	15624
903	145601	15462
904	145813	15306
905	145995	15147
906	146148	14985
907	146296	14822
908	146464	14662
909	146652	14504
910	146827	14344
911	147010	14185
912	147203	14027
913	147354	13864
914	147532	13705
915	147691	13543
916	147836	13381
917	147997	13219
918	148138	13056
919	148318	12897
920	148463	12734
921	148612	12572
922	148811	12414
923	149018	12256
924	149232	12099
925	149399	11939
926	149550	11776
927	149774	11620
928	149954	11460
929	150148	11301
930	150317	11140
931	150482	10979
932	150632	10817
933	150820	10657
934	150989	10496
935	151147	10334
936	151283	10171
937	151435	10009
938	151580	9847
939	151768	9687
940	151943	9526
941	152116	9366
942	152268	9203
943	152421	9041
944	152616	8882
945	152785	8721
946	152964	8560
947	153121	8399
948	153357	8241
949	153539	8081
950	153689	7918
951	153829	7756
952	154011	7595
953	154185	7434
954	154387	7274
955	154573	7114
956	154731	6952
957	154898	6790
958	155090	6630
959	155257	6469
960	155456	6308
961	155630	6147
962	155840	5987
963	156025	5826
964	156186	5664
965	156378	5504
966	156576	5343
967	156739	5181
968	156905	5019
969	157072	4857
970	157264	4696
971	157452	4535
972	157628	4374
973	157780	4211
974	157983	4050
975	158153	3889
976	158326	3727
977	158488	3565
978	158649	3403
979	158812	3241
980	158972	3078
981	159144	2917
982	159313	2755
983	159490	2593
984	159635	2430
985	159825	2269
986	159973	2107
987	160122	1944
988	160315	1783
989	160498	1621
990	160691	1459
991	160831	1297
992	161000	1134
993	161153	972
994	161334	810
995	161493	648
996	161692	486
997	161872	324
998	162049	162
999	162213	0
